Orthogroup	protein_mansoni	sequence_Homo sapiens
OG0000010	6183.Smp_002860.1, 6183.Smp_005170.1, 6183.Smp_023190.1, 6183.Smp_028860.1, 6183.Smp_029950.1, 6183.Smp_061980.1, 6183.Smp_084210.1, 6183.Smp_086310.1, 6183.Smp_086370.1, 6183.Smp_099090.1, 6183.Smp_117560.1, 6183.Smp_120750.1, 6183.Smp_138720.1, 6183.Smp_138790.1, 6183.Smp_141260.1, 6183.Smp_166270.1, 6183.Smp_177900.1, 6183.Smp_178320.1, 6183.Smp_188510.1, 6183.Smp_188960.1, 6183.Smp_200580.1	
OG0000011	6183.Smp_013630.1, 6183.Smp_016230.1, 6183.Smp_083220.1, 6183.Smp_129530.1, 6183.Smp_131010.1, 6183.Smp_135640.1, 6183.Smp_141740.1, 6183.Smp_149010.1, 6183.Smp_151620.1, 6183.Smp_155600.1, 6183.Smp_155810.1, 6183.Smp_158870.1, 6183.Smp_162520.1, 6183.Smp_162550.1, 6183.Smp_167460.1, 6183.Smp_167470.1, 6183.Smp_176470.1, 6183.Smp_179750.1, 6183.Smp_193230.1, 6183.Smp_196240.1, 6183.Smp_199910.1	
OG0000012	6183.Smp_000075.1, 6183.Smp_001980.1, 6183.Smp_027990.1, 6183.Smp_029620.1, 6183.Smp_030050.1, 6183.Smp_060750.1, 6183.Smp_081620.1, 6183.Smp_125600.1, 6183.Smp_126190.1, 6183.Smp_137140.1, 6183.Smp_138140.1, 6183.Smp_140350.1, 6183.Smp_140730.1, 6183.Smp_144380.1, 6183.Smp_152980.1, 6183.Smp_158000.1, 6183.Smp_186930.1, 6183.Smp_189380.1	
OG0000013	6183.Smp_000680.1, 6183.Smp_004080.1, 6183.Smp_044020.1, 6183.Smp_044160.1, 6183.Smp_044690.1, 6183.Smp_055190.1, 6183.Smp_061250.1, 6183.Smp_064150.1, 6183.Smp_083720.1, 6183.Smp_121130.1, 6183.Smp_121160.1, 6183.Smp_137000.1, 6183.Smp_137160.1, 6183.Smp_142930.1, 6183.Smp_148470.1, 6183.Smp_149320.1, 6183.Smp_193410.1, 6183.Smp_194600.1	
OG0000014	6183.Smp_008390.1, 6183.Smp_023140.1, 6183.Smp_124150.1, 6183.Smp_124880.1, 6183.Smp_125090.1, 6183.Smp_128820.1, 6183.Smp_128830.1, 6183.Smp_141020.1, 6183.Smp_152360.1, 6183.Smp_162070.1, 6183.Smp_164000.1, 6183.Smp_165180.1, 6183.Smp_165300.1, 6183.Smp_167530.1, 6183.Smp_173920.1, 6183.Smp_186920.1, 6183.Smp_187590.1, 6183.Smp_193730.1	
OG0000015	6183.Smp_035160.1, 6183.Smp_035180.1, 6183.Smp_035870.1, 6183.Smp_063930.1, 6183.Smp_069240.1, 6183.Smp_081250.1, 6183.Smp_090420.1, 6183.Smp_090430.1, 6183.Smp_094560.1, 6183.Smp_121190.1, 6183.Smp_129380.1, 6183.Smp_141510.1, 6183.Smp_156640.1, 6183.Smp_160780.1, 6183.Smp_163090.1, 6183.Smp_194490.1, 6183.Smp_194710.1, 6183.Smp_199260.1	
OG0000016	6183.Smp_003230.1, 6183.Smp_014850.1, 6183.Smp_036990.1, 6183.Smp_044530.1, 6183.Smp_062950.1, 6183.Smp_070090.1, 6183.Smp_085740.1, 6183.Smp_122030.1, 6183.Smp_126520.1, 6183.Smp_140490.1, 6183.Smp_147670.1, 6183.Smp_151490.1, 6183.Smp_173170.1, 6183.Smp_176510.1, 6183.Smp_196040.1, 6183.Smp_196890.1, 6183.Smp_212420.1	
OG0000017	6183.Smp_059140.1, 6183.Smp_088180.1, 6183.Smp_094770.1, 6183.Smp_122860.1, 6183.Smp_125470.1, 6183.Smp_147480.1, 6183.Smp_157440.1, 6183.Smp_167670.1, 6183.Smp_167780.1, 6183.Smp_168360.1, 6183.Smp_170460.1, 6183.Smp_170470.1, 6183.Smp_170480.1, 6183.Smp_170490.1, 6183.Smp_170500.1, 6183.Smp_175400.1, 6183.Smp_194190.1	
OG0000018	6183.Smp_010670.1, 6183.Smp_042140.1, 6183.Smp_042150.1, 6183.Smp_045010.1, 6183.Smp_045200.1, 6183.Smp_072620.1, 6183.Smp_072630.1, 6183.Smp_074460.1, 6183.Smp_077310.1, 6183.Smp_086470.1, 6183.Smp_086480.1, 6183.Smp_086530.1, 6183.Smp_146460.1, 6183.Smp_169190.1, 6183.Smp_169200.1, 6183.Smp_195090.1	
OG0000019	6183.Smp_019030.1, 6183.Smp_034410.1, 6183.Smp_067060.1, 6183.Smp_085010.1, 6183.Smp_085180.1, 6183.Smp_103610.1, 6183.Smp_105370.1, 6183.Smp_139160.1, 6183.Smp_139240.1, 6183.Smp_141610.1, 6183.Smp_149730.1, 6183.Smp_158410.1, 6183.Smp_158420.1, 6183.Smp_179950.1, 6183.Smp_187140.1, 6183.Smp_210500.1	
OG0000020	6183.Smp_001420.1, 6183.Smp_007210.1, 6183.Smp_022130.1, 6183.Smp_070310.1, 6183.Smp_079800.1, 6183.Smp_098250.1, 6183.Smp_130480.1, 6183.Smp_133790.1, 6183.Smp_145170.1, 6183.Smp_151740.1, 6183.Smp_160470.1, 6183.Smp_165040.1, 6183.Smp_165700.2, 6183.Smp_207030.1	16p11.2 TBC1 domain family member 10B [Homo sapiens]
OG0000021	6183.Smp_005470.1, 6183.Smp_019310.1, 6183.Smp_030910.1, 6183.Smp_040680.1, 6183.Smp_051400.1, 6183.Smp_095480.1, 6183.Smp_095500.1, 6183.Smp_095520.1, 6183.Smp_114620.1, 6183.Smp_125010.1, 6183.Smp_125020.1, 6183.Smp_174510.1, 6183.Smp_174520.1, 6183.Smp_200180.1, 6183.Smp_201060.1	
OG0000022	6183.Smp_011430.1, 6183.Smp_055240.1, 6183.Smp_069720.1, 6183.Smp_124580.1, 6183.Smp_131600.1, 6183.Smp_132320.1, 6183.Smp_148300.1, 6183.Smp_149140.1, 6183.Smp_151540.1, 6183.Smp_151630.1, 6183.Smp_156970.1, 6183.Smp_161520.1, 6183.Smp_162610.1, 6183.Smp_176540.1, 6183.Smp_192490.1	
OG0000023	6183.Smp_014660.2, 6183.Smp_040570.1, 6183.Smp_063070.1, 6183.Smp_104670.1, 6183.Smp_129350.1, 6183.Smp_132500.1, 6183.Smp_149440.1, 6183.Smp_150830.1, 6183.Smp_154580.1, 6183.Smp_163580.1, 6183.Smp_169460.1, 6183.Smp_169470.1, 6183.Smp_176050.1, 6183.Smp_210430.1	12q24 RAB35_ member RAS oncogene family [Homo sapiens]
OG0000024	6183.Smp_015520.1, 6183.Smp_032370.1, 6183.Smp_076580.1, 6183.Smp_078600.1, 6183.Smp_081430.1, 6183.Smp_092740.1, 6183.Smp_120070.1, 6183.Smp_139680.1, 6183.Smp_139700.1, 6183.Smp_151030.1, 6183.Smp_170300.1, 6183.Smp_179840.1, 6183.Smp_179850.1, 6183.Smp_203940.1, 6183.Smp_203950.1	
OG0000025	6183.Smp_000340.1, 6183.Smp_097700.1, 6183.Smp_139200.1, 6183.Smp_174700.1	12q13 retinoic acid receptor_ gamma [Homo sapiens], 15q21-q22 RAR-related orphan receptor A [Homo sapiens], 17q21.1 retinoic acid receptor_ alpha [Homo sapiens], 1q41 estrogen-related receptor gamma [Homo sapiens], 20q13.12 hepatocyte nuclear factor 4_ alpha [Homo sapiens], 2q22-q23 nuclear receptor subfamily 4 group A member 2 [Homo sapiens], 4q31 nuclear receptor subfamily 3 group C member 2 [Homo sapiens], 6p21.2 peroxisome proliferator-activated receptor delta [Homo sapiens], 6p21.3 retinoid X receptor beta [Homo sapiens], 9q34 retinoid X receptor alpha [Homo sapiens]
OG0000026	6183.Smp_004350.1, 6183.Smp_028100.1, 6183.Smp_041390.1, 6183.Smp_055960.1, 6183.Smp_059750.2, 6183.Smp_067980.4, 6183.Smp_067990.4, 6183.Smp_068000.1, 6183.Smp_083400.1, 6183.Smp_118220.1, 6183.Smp_169440.1, 6183.Smp_174670.1, 6183.Smp_180170.1	5q31.2 ubiquitin conjugating enzyme E2D 2 [Homo sapiens]
OG0000027	6183.Smp_012000.1, 6183.Smp_031680.1, 6183.Smp_037960.1, 6183.Smp_101990.1, 6183.Smp_119340.1, 6183.Smp_132070.1, 6183.Smp_139330.1, 6183.Smp_142690.1, 6183.Smp_142700.1, 6183.Smp_157790.1, 6183.Smp_175110.1, 6183.Smp_176310.1, 6183.Smp_180570.1, 6183.Smp_197600.1	
OG0000028	6183.Smp_028910.1, 6183.Smp_054300.1, 6183.Smp_129750.1, 6183.Smp_137730.1, 6183.Smp_137740.1, 6183.Smp_142860.1, 6183.Smp_154410.1, 6183.Smp_193620.1, 6183.Smp_193870.1, 6183.Smp_194990.1, 6183.Smp_199790.1, 6183.Smp_205640.1, 6183.Smp_209060.1, 6183.Smp_211180.1	
OG0000029	6183.Smp_056290.1, 6183.Smp_112270.1, 6183.Smp_117990.1, 6183.Smp_122020.1, 6183.Smp_132850.2, 6183.Smp_139510.1, 6183.Smp_165800.1, 6183.Smp_167350.1, 6183.Smp_176450.1, 6183.Smp_187770.1, 6183.Smp_191250.1, 6183.Smp_192030.1, 6183.Smp_199470.1, 6183.Smp_206030.1	
OG0000030	6183.Smp_000730.1, 6183.Smp_032180.1, 6183.Smp_037190.1, 6183.Smp_073590.1, 6183.Smp_086900.1, 6183.Smp_088650.1, 6183.Smp_096160.1, 6183.Smp_104680.1, 6183.Smp_105480.1, 6183.Smp_159930.1, 6183.Smp_164660.1, 6183.Smp_166930.1, 6183.Smp_172640.1	
OG0000031	6183.Smp_000780.1, 6183.Smp_000790.1, 6183.Smp_012810.1, 6183.Smp_020540.2, 6183.Smp_048560.1, 6183.Smp_138170.1, 6183.Smp_140310.1, 6183.Smp_143130.1, 6183.Smp_146200.2, 6183.Smp_157310.1, 6183.Smp_163960.1, 6183.Smp_165070.1	12p11-q12 prickle homolog 1 [Homo sapiens]
OG0000032	6183.Smp_002930.1, 6183.Smp_031720.1, 6183.Smp_056420.1, 6183.Smp_060760.1, 6183.Smp_082750.1, 6183.Smp_086860.1, 6183.Smp_089840.1, 6183.Smp_089870.1, 6183.Smp_123850.1, 6183.Smp_130880.1, 6183.Smp_150470.1, 6183.Smp_176670.1, 6183.Smp_210630.1	
OG0000033	6183.Smp_005350.1, 6183.Smp_018940.1, 6183.Smp_026560.2, 6183.Smp_045220.1, 6183.Smp_062250.1, 6183.Smp_083740.1, 6183.Smp_132670.1, 6183.Smp_134470.1, 6183.Smp_134950.1, 6183.Smp_136850.2, 6183.Smp_144790.1, 6183.Smp_160840.1, 6183.Smp_199400.1	
OG0000034	6183.Smp_008850.1, 6183.Smp_041700.1, 6183.Smp_127860.1, 6183.Smp_128710.1, 6183.Smp_129810.1, 6183.Smp_132730.1, 6183.Smp_140250.1, 6183.Smp_145240.1, 6183.Smp_149170.1, 6183.Smp_149580.1, 6183.Smp_157640.1, 6183.Smp_173010.1, 6183.Smp_193610.1	
OG0000035	6183.Smp_018670.1, 6183.Smp_023620.1, 6183.Smp_024070.1, 6183.Smp_029800.1, 6183.Smp_095620.2, 6183.Smp_121940.1, 6183.Smp_125440.1, 6183.Smp_129640.1, 6183.Smp_155460.1, 6183.Smp_169390.1, 6183.Smp_194810.1, 6183.Smp_196300.1, 6183.Smp_198990.1	
OG0000036	6183.Smp_018690.1, 6183.Smp_058080.1, 6183.Smp_118040.1, 6183.Smp_123350.1, 6183.Smp_126010.1, 6183.Smp_132410.1, 6183.Smp_133550.1, 6183.Smp_141880.1, 6183.Smp_169680.1, 6183.Smp_170020.1, 6183.Smp_172170.1, 6183.Smp_203500.1	4q31.22 endothelin receptor type A [Homo sapiens]
OG0000037	6183.Smp_090100.1, 6183.Smp_090110.1, 6183.Smp_127030.1, 6183.Smp_135530.1, 6183.Smp_153930.1, 6183.Smp_167070.1, 6183.Smp_167100.1, 6183.Smp_167110.1, 6183.Smp_167120.1, 6183.Smp_171320.1, 6183.Smp_171350.1, 6183.Smp_173070.1, 6183.Smp_204600.1	
OG0000038	6183.Smp_000050.1, 6183.Smp_022480.1, 6183.Smp_035140.1, 6183.Smp_130890.1, 6183.Smp_138760.1, 6183.Smp_147140.1, 6183.Smp_161630.1, 6183.Smp_161640.1, 6183.Smp_165170.1, 6183.Smp_173720.1, 6183.Smp_197680.1, 6183.Smp_199590.1	
OG0000039	6183.Smp_000170.1, 6183.Smp_000180.1, 6183.Smp_026420.1, 6183.Smp_064950.1, 6183.Smp_068510.1, 6183.Smp_085650.1, 6183.Smp_106110.1, 6183.Smp_151600.1, 6183.Smp_153320.1, 6183.Smp_158980.1, 6183.Smp_158990.1, 6183.Smp_178100.1	
OG0000040	6183.Smp_001280.1, 6183.Smp_001330.1, 6183.Smp_034160.1, 6183.Smp_050520.1, 6183.Smp_089670.1, 6183.Smp_105360.1, 6183.Smp_122740.1, 6183.Smp_122750.1, 6183.Smp_135370.1, 6183.Smp_140600.1, 6183.Smp_173560.1, 6183.Smp_183600.1	
OG0000041	6183.Smp_089320.1, 6183.Smp_089330.1, 6183.Smp_089370.1, 6183.Smp_089380.1, 6183.Smp_114430.1, 6183.Smp_119060.1, 6183.Smp_120180.1, 6183.Smp_128340.1, 6183.Smp_159300.1, 6183.Smp_168940.1, 6183.Smp_170890.1, 6183.Smp_176190.1	
OG0000042	6183.Smp_164590.1, 6183.Smp_196840.1	12q12-q13.2 collagen_ type II_ alpha 1 [Homo sapiens], 15q15 thrombospondin 1 [Homo sapiens], 17q21.33 collagen_ type I_ alpha 1 [Homo sapiens], 1p21 collagen_ type XI_ alpha 1 [Homo sapiens], 2p21 cysteine rich transmembrane BMP regulator 1 _chordin-like_ [Homo sapiens], 2q14-q32 collagen_ type V_ alpha 2 [Homo sapiens], 2q32.2 collagen_ type III_ alpha 1 [Homo sapiens], 7q21.3 collagen_ type I_ alpha 2 [Homo sapiens], 9q33.1 collagen_ type XXVII_ alpha 1 [Homo sapiens], 9q34.2-q34.3 collagen_ type V_ alpha 1 [Homo sapiens]
OG0000043	6183.Smp_003440.1, 6183.Smp_041970.1, 6183.Smp_061140.1, 6183.Smp_066520.1, 6183.Smp_072640.1, 6183.Smp_086830.1, 6183.Smp_122810.1, 6183.Smp_154990.1, 6183.Smp_162440.1, 6183.Smp_196010.1, 6183.Smp_210100.1	
OG0000044	6183.Smp_007950.1, 6183.Smp_015920.1, 6183.Smp_021370.1, 6183.Smp_024650.1, 6183.Smp_047240.2, 6183.Smp_056260.1, 6183.Smp_146430.1, 6183.Smp_153110.1, 6183.Smp_210290.1, 6183.Smp_211240.1	20q13.1-q13.2 UDP-Gal_betaGlcNAc beta 1_4- galactosyltransferase_ polypeptide 5 [Homo sapiens]
OG0000045	6183.Smp_009430.1, 6183.Smp_042680.1, 6183.Smp_084570.1, 6183.Smp_102190.1, 6183.Smp_117920.1, 6183.Smp_131430.1, 6183.Smp_141720.1, 6183.Smp_168550.1, 6183.Smp_168560.1, 6183.Smp_178940.1, 6183.Smp_212250.1	
OG0000046	6183.Smp_016920.1, 6183.Smp_047420.1, 6183.Smp_047700.1, 6183.Smp_048680.1, 6183.Smp_049970.5, 6183.Smp_134780.1, 6183.Smp_176120.1, 6183.Smp_205270.1	15q21 ring finger protein 111 [Homo sapiens], 18q21.1 chromosome 18 open reading frame 25 [Homo sapiens], Xq13-q21 ring finger protein_ LIM domain interacting [Homo sapiens]
OG0000047	6183.Smp_021160.1, 6183.Smp_029900.1, 6183.Smp_040130.1, 6183.Smp_040790.1, 6183.Smp_054330.1, 6183.Smp_069160.1, 6183.Smp_080150.1, 6183.Smp_084080.1, 6183.Smp_133820.1, 6183.Smp_173280.1, 6183.Smp_209050.1	
OG0000048	6183.Smp_034920.1, 6183.Smp_124170.1, 6183.Smp_130810.1, 6183.Smp_137550.1, 6183.Smp_137560.1, 6183.Smp_153330.1, 6183.Smp_156080.1, 6183.Smp_158760.1, 6183.Smp_159840.1, 6183.Smp_176300.1, 6183.Smp_212280.1	
OG0000049	6183.Smp_038970.1, 6183.Smp_101650.1, 6183.Smp_119730.1, 6183.Smp_125560.1, 6183.Smp_138660.1, 6183.Smp_142680.1, 6183.Smp_165850.1, 6183.Smp_175090.3, 6183.Smp_187840.1, 6183.Smp_198870.1, 6183.Smp_209040.1	
OG0000050	6183.Smp_041450.1, 6183.Smp_053510.1, 6183.Smp_088800.1, 6183.Smp_104470.1, 6183.Smp_169030.1, 6183.Smp_178380.1, 6183.Smp_179140.1, 6183.Smp_190720.1, 6183.Smp_194140.1, 6183.Smp_194150.1, 6183.Smp_199340.1	
OG0000051	6183.Smp_045490.1, 6183.Smp_045500.1, 6183.Smp_045550.1, 6183.Smp_045560.1, 6183.Smp_074140.1, 6183.Smp_074150.1, 6183.Smp_077720.1, 6183.Smp_146690.1, 6183.Smp_162160.1, 6183.Smp_164100.1, 6183.Smp_207040.1	
OG0000052	6183.Smp_048050.1, 6183.Smp_049230.1, 6183.Smp_049240.1, 6183.Smp_049250.1, 6183.Smp_049270.1, 6183.Smp_049300.3, 6183.Smp_136930.1, 6183.Smp_138210.1, 6183.Smp_148530.1, 6183.Smp_185680.1, 6183.Smp_186020.1	
OG0000053	6183.Smp_050630.1, 6183.Smp_069120.1, 6183.Smp_145120.1, 6183.Smp_150350.1, 6183.Smp_150920.1, 6183.Smp_151430.1, 6183.Smp_159640.1, 6183.Smp_175900.1, 6183.Smp_194330.1, 6183.Smp_206290.1	1q32.2 synaptotagmin 14 [Homo sapiens]
OG0000054	6183.Smp_056560.1, 6183.Smp_105340.1, 6183.Smp_142280.1, 6183.Smp_142290.1, 6183.Smp_152350.1, 6183.Smp_152480.1, 6183.Smp_152500.1, 6183.Smp_153100.1, 6183.Smp_155040.1, 6183.Smp_194700.1, 6183.Smp_212410.1	
OG0000055	6183.Smp_075350.1, 6183.Smp_075360.1, 6183.Smp_075370.1, 6183.Smp_075380.1, 6183.Smp_075390.1, 6183.Smp_075400.1, 6183.Smp_075420.1, 6183.Smp_075430.1, 6183.Smp_162840.1, 6183.Smp_166170.1, 6183.Smp_204390.1	
