Orthogroup	Total	protein_mansoni	sequence_Homo sapiens
OG0000192	5	6183.Smp_054240.1, 6183.Smp_122680.1, 6183.Smp_151960.1, 6183.Smp_186680.1	13q14 tumor protein_ translationally-controlled 1 [Homo sapiens]
OG0000195	5	6183.Smp_055400.1, 6183.Smp_059130.1, 6183.Smp_133390.1, 6183.Smp_149200.1	1q25.2 centrosomal protein 350kDa [Homo sapiens]
OG0000198	5	6183.Smp_066760.2	10p14 FERM domain containing 4A [Homo sapiens], 22q12.2 neurofibromin 2 _merlin_ [Homo sapiens], 6q25.3 ezrin [Homo sapiens], Xq11.1 moesin [Homo sapiens]
OG0000199	5	6183.Smp_066930.1	12q13.1 Sp1 transcription factor [Homo sapiens], 17q21.3-q22 Sp2 transcription factor [Homo sapiens], 2q31 Sp3 transcription factor [Homo sapiens], 7p15 Sp4 transcription factor [Homo sapiens]
OG0000200	5	6183.Smp_070170.1, 6183.Smp_081440.1, 6183.Smp_138030.1	12q13.12 lysine _K_-specific methyltransferase 2D [Homo sapiens], 7q36 lysine _K_-specific methyltransferase 2C [Homo sapiens]
OG0000201	5	6183.Smp_078280.1, 6183.Smp_144550.1, 6183.Smp_174840.1, 6183.Smp_179650.1	17q25.3 chromobox 2 [Homo sapiens]
OG0000203	5	6183.Smp_093820.1, 6183.Smp_132990.1, 6183.Smp_179000.1	12q13.11 SR-related CTD-associated factor 11 [Homo sapiens], 19q13.3-q13.4 SR-related CTD-associated factor 1 [Homo sapiens]
OG0000204	5	6183.Smp_094890.1, 6183.Smp_139070.1, 6183.Smp_145770.1, 6183.Smp_173570.1	5q31 family with sequence similarity 13 member B [Homo sapiens]
OG0000211	5	6183.Smp_126140.1, 6183.Smp_170280.1, 6183.Smp_173540.1, 6183.Smp_181010.1	12q11-q13 integrin subunit alpha 5 [Homo sapiens]
OG0000212	5	6183.Smp_127780.1, 6183.Smp_140100.1	19p13.2 interleukin enhancer binding factor 3 [Homo sapiens], 5p15.2 zinc finger RNA binding protein [Homo sapiens], 9q33.1-q33.3 spermatid perinuclear RNA binding protein [Homo sapiens]
OG0000215	5	6183.Smp_130560.1, 6183.Smp_134190.1	15q22.3-q23 neogenin 1 [Homo sapiens], 18q21.1 DCC netrin 1 receptor [Homo sapiens], 5q11.2 interleukin 6 signal transducer [Homo sapiens]
OG0000219	5	6183.Smp_144310.1	1p34 potassium channel_ voltage gated KQT-like subfamily Q_ member 4 [Homo sapiens], 20q13.33 potassium channel_ voltage gated KQT-like subfamily Q_ member 2 [Homo sapiens], 6q14 potassium channel_ voltage gated KQT-like subfamily Q_ member 5 [Homo sapiens], 8q24 potassium channel_ voltage gated KQT-like subfamily Q_ member 3 [Homo sapiens]
OG0000220	5	6183.Smp_155690.1, 6183.Smp_179780.1, 6183.Smp_180820.1	17q24.3 SRY-box 9 [Homo sapiens], 22q13.1 SRY-box 10 [Homo sapiens]
OG0000222	5	6183.Smp_172460.1	10p15 Kruppel-like factor 6 [Homo sapiens], 13q22 Kruppel-like factor 12 [Homo sapiens], 2q32 Kruppel-like factor 7 _ubiquitous_ [Homo sapiens], 9q31 Kruppel-like factor 4 _gut_ [Homo sapiens]
OG0000224	5	6183.Smp_200710.1, 6183.Smp_212350.1	3p14.1 forkhead box P1 [Homo sapiens], 7q31 forkhead box P2 [Homo sapiens], Xp11.23 forkhead box P3 [Homo sapiens]
OG0000237	4	6183.Smp_005790.1, 6183.Smp_142790.1	19p13.3 guanine nucleotide binding protein _G protein__ alpha 11 _Gq class_ [Homo sapiens], 9q21 guanine nucleotide binding protein _G protein__ q polypeptide [Homo sapiens]
OG0000238	4	6183.Smp_005860.1, 6183.Smp_065580.3, 6183.Smp_155850.1	9q21.32-q21.33 heterogeneous nuclear ribonucleoprotein K [Homo sapiens]
OG0000239	4	6183.Smp_006440.1, 6183.Smp_051530.1, 6183.Smp_149700.1	19q13.2 heterogeneous nuclear ribonucleoprotein L [Homo sapiens]
OG0000241	4	6183.Smp_008190.1, 6183.Smp_144620.1	11q23.3 Rho guanine nucleotide exchange factor 12 [Homo sapiens], 1q21 Rho guanine nucleotide exchange factor 11 [Homo sapiens]
OG0000242	4	6183.Smp_010160.1, 6183.Smp_020800.1, 6183.Smp_168350.1	13q14.3 SGT1 homolog_ MIS12 kinetochore complex assembly cochaperone [Homo sapiens]
OG0000243	4	6183.Smp_010230.1, 6183.Smp_090070.1, 6183.Smp_153610.1	22q11.2 histone cell cycle regulator [Homo sapiens]
OG0000245	4	6183.Smp_015390.1, 6183.Smp_145840.1, 6183.Smp_178480.1	1p35.3 WD and tetratricopeptide repeats 1 [Homo sapiens]
OG0000248	4	6183.Smp_019890.1, 6183.Smp_066670.1, 6183.Smp_179930.1	7q11.2 syntaxin 1A [Homo sapiens]
OG0000249	4	6183.Smp_020170.1, 6183.Smp_124690.1	19p13 calcium channel_ voltage-dependent_ P/Q type_ alpha 1A subunit [Homo sapiens], 9q34 calcium channel_ voltage-dependent_ N type_ alpha 1B subunit [Homo sapiens]
OG0000256	4	6183.Smp_030830.2, 6183.Smp_037700.1	4q21.1 GTPase activating protein _SH3 domain_ binding protein 2 [Homo sapiens], 5q33.1 GTPase activating protein _SH3 domain_ binding protein 1 [Homo sapiens]
OG0000257	4	6183.Smp_031560.1, 6183.Smp_123180.1, 6183.Smp_165260.1	17q22-q23 SMAD specific E3 ubiquitin protein ligase 2 [Homo sapiens]
OG0000260	4	6183.Smp_035390.1	12p13.31 protein tyrosine phosphatase_ non-receptor type 6 [Homo sapiens], 12q24.1 protein tyrosine phosphatase_ non-receptor type 11 [Homo sapiens], 7q11.23 protein tyrosine phosphatase_ non-receptor type 12 [Homo sapiens]
OG0000262	4	6183.Smp_036180.1, 6183.Smp_131190.1, 6183.Smp_163080.1	2q37 diacylglycerol kinase delta [Homo sapiens]
OG0000265	4	6183.Smp_038840.1, 6183.Smp_058130.1, 6183.Smp_093630.2	17q25.1 solute carrier family 25 _mitochondrial thiamine pyrophosphate carrier__ member 19 [Homo sapiens]
OG0000266	4	6183.Smp_041280.1, 6183.Smp_131780.1	11p11 CUGBP_ Elav-like family member 1 [Homo sapiens], 18q12 CUGBP_ Elav-like family member 4 [Homo sapiens]
OG0000269	4	6183.Smp_046790.1, 6183.Smp_127200.1	12q12 solute carrier family 2 _facilitated glucose transporter__ member 13 [Homo sapiens], 1p34.2 solute carrier family 2 _facilitated glucose transporter__ member 1 [Homo sapiens]
OG0000270	4	6183.Smp_048260.2, 6183.Smp_050590.1, 6183.Smp_063580.2	14q22.2 N_alpha_-acetyltransferase 30_ NatC catalytic subunit [Homo sapiens]
OG0000272	4	6183.Smp_049010.1, 6183.Smp_163680.1, 6183.Smp_164940.1	14q12 neuro-oncological ventral antigen 1 [Homo sapiens]
OG0000273	4	6183.Smp_049760.1	12q13 activin A receptor type IB [Homo sapiens], 2q23-q24 activin A receptor type I [Homo sapiens], 9q22 transforming growth factor beta receptor I [Homo sapiens]
OG0000274	4	6183.Smp_049990.1, 6183.Smp_143500.1	12q24.12 cut-like homeobox 2 [Homo sapiens], 7q22.1 cut-like homeobox 1 [Homo sapiens]
OG0000275	4	6183.Smp_050380.1, 6183.Smp_056390.1	17q mitogen-activated protein kinase kinase kinase 3 [Homo sapiens], 2q21.1 mitogen-activated protein kinase kinase kinase 2 [Homo sapiens]
OG0000276	4	6183.Smp_050470.1, 6183.Smp_150390.3, 6183.Smp_194110.1	3p21.33 WD repeat domain 48 [Homo sapiens]
OG0000277	4	6183.Smp_051210.1	1p35.1 karyopherin alpha 6 _importin alpha 7_ [Homo sapiens], 3q21 karyopherin alpha 1 [Homo sapiens], 3q25.33 karyopherin alpha 4 _importin alpha 3_ [Homo sapiens]
OG0000278	4	6183.Smp_051280.1, 6183.Smp_131650.1	17p13.3 SMG6 nonsense mediated mRNA decay factor [Homo sapiens], 1q25 SMG7 nonsense mediated mRNA decay factor [Homo sapiens]
OG0000280	4	6183.Smp_052350.1	10q26.12 zinc finger_ RAN-binding domain containing 1 [Homo sapiens], 6q23-q25 TNF alpha induced protein 3 [Homo sapiens], 8q13 valosin containing protein _p97_/p47 complex interacting protein 1 [Homo sapiens]
OG0000281	4	6183.Smp_052460.1, 6183.Smp_150270.1	10p11.2 cullin 2 [Homo sapiens], 7q36.1 cullin 1 [Homo sapiens]
OG0000283	4	6183.Smp_056360.8, 6183.Smp_193440.1	10q22.1 cell division cycle and apoptosis regulator 1 [Homo sapiens], 8p22 cell cycle and apoptosis regulator 2 [Homo sapiens]
OG0000286	4	6183.Smp_062920.1, 6183.Smp_146390.1, 6183.Smp_211030.1	11q13.4 protein phosphatase methylesterase 1 [Homo sapiens]
OG0000287	4	6183.Smp_063110.1	1p34-p32 zinc finger_ MYM-type 4 [Homo sapiens], 3p21.31 glutamine-rich 1 [Homo sapiens], Xq13.1 zinc finger_ MYM-type 3 [Homo sapiens]
OG0000288	4	6183.Smp_064860.1, 6183.Smp_151350.1, 6183.Smp_165540.1	11q13 stress induced phosphoprotein 1 [Homo sapiens]
OG0000289	4	6183.Smp_068180.1, 6183.Smp_128860.1, 6183.Smp_159060.1	5q23.3-q31.2 lysyl oxidase [Homo sapiens]
OG0000290	4	6183.Smp_068780.1	1q32.11 nuclear receptor subfamily 5 group A member 2 [Homo sapiens], 9q33 nuclear receptor subfamily 5 group A member 1 [Homo sapiens], 9q33.3 nuclear receptor subfamily 6 group A member 1 [Homo sapiens]
OG0000293	4	6183.Smp_072320.1, 6183.Smp_094680.1, 6183.Smp_106930.1	11q24.1 heat shock protein family A _Hsp70_ member 8 [Homo sapiens]
OG0000295	4	6183.Smp_073930.1	14q32.33 v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens], 19q13.1-q13.2 v-akt murine thymoma viral oncogene homolog 2 [Homo sapiens], 1q44 v-akt murine thymoma viral oncogene homolog 3 [Homo sapiens]
OG0000296	4	6183.Smp_074400.1, 6183.Smp_139020.1, 6183.Smp_173820.1	17p11.2 ubiquitin specific peptidase 22 [Homo sapiens]
OG0000297	4	6183.Smp_077810.1, 6183.Smp_172000.1, 6183.Smp_188800.1	12p12.3 asunder spermatogenesis regulator [Homo sapiens]
OG0000299	4	6183.Smp_080120.2	2q22.2-q23.3 activin A receptor type IIA [Homo sapiens], 2q33-q34 bone morphogenetic protein receptor type II [Homo sapiens], 3p22 activin A receptor type IIB [Homo sapiens]
