Orthogroup	Total	protein_mansoni	sequence_Saccharomyces cerevisiae
OG0000072	11	6183.Smp_027970.1, 6183.Smp_087270.1, 6183.Smp_123500.1, 6183.Smp_156060.1, 6183.Smp_157510.1	NC_001137 DEAH-box RNA-dependent ATPase/ATP-dependent RNA helicase_ associates with lariat intermediates before the second catalytic step of splicing; mediates ATP-dependent mRNA release from the spliceosome and unwinds RNA duplexes [Saccharomyces cerevisiae], NC_001139 RNA helicase in the DEAH-box family_ functions in both RNA polymerase I and polymerase II transcript metabolism_ involved in release of the lariat-intron from the spliceosome [Saccharomyces cerevisiae], NC_001143 Predominantly nucleolar DEAH-box ATP-dependent RNA helicase_ required for 18S rRNA synthesis [Saccharomyces cerevisiae], NC_001143 RNA helicase in the DEAH-box family involved in the second catalytic step of splicing_ exhibits ATP-dependent RNA unwinding activity [Saccharomyces cerevisiae], NC_001145 Essential DEAH-box ATP-dependent RNA helicase specific to the U3 snoRNP_ predominantly nucleolar in distribution_ required for 18S rRNA synthesis [Saccharomyces cerevisiae], NC_001146 RNA-dependent ATPase in the DEAH-box family_ required for activation of the spliceosome before the first transesterification step in RNA splicing [Saccharomyces cerevisiae]
OG0000116	8	6183.Smp_007260.2, 6183.Smp_015020.1, 6183.Smp_126300.1, 6183.Smp_130300.1, 6183.Smp_136710.1, 6183.Smp_137170.1, 6183.Smp_199210.1	NC_001139 Plasma membrane H+-ATPase_ pumps protons out of the cell; major regulator of cytoplasmic pH and plasma membrane potential; part of the P2 subgroup of cation-transporting ATPases [Saccharomyces cerevisiae]
OG0000119	8	6183.Smp_019100.1, 6183.Smp_065180.1, 6183.Smp_135790.1, 6183.Smp_156950.1, 6183.Smp_171650.1, 6183.Smp_176920.1	NC_001133 Guanine nucleotide exchange factor _GEF or GDP-release factor_ for Cdc42p; required for polarity establishment and maintenance_ and mutants have morphological defects in bud formation and shmooing [Saccharomyces cerevisiae], NC_001141 Part of actin cytoskeleton-regulatory complex Pan1p-Sla1p-End3p_ associates with actin patches on the cell cortex; promotes protein-protein interactions essential for endocytosis; previously thought to be a subunit of poly_A_ ribonuclease [Saccharomyces cerevisiae]
OG0000123	8	6183.Smp_026880.1, 6183.Smp_074610.1, 6183.Smp_082240.1, 6183.Smp_089860.1, 6183.Smp_150540.1, 6183.Smp_169450.1, 6183.Smp_177140.1	NC_001143 Centromere protein that resembles histone H3_ required for proper kinetochore function; homolog of human CENP-A [Saccharomyces cerevisiae]
OG0000129	8	6183.Smp_128120.1, 6183.Smp_158050.1, 6183.Smp_158610.2, 6183.Smp_163620.1	NC_001139 ATPase that forms a large complex_ containing actin and several actin-related proteins_ that has chromatin remodeling activity and 3' to 5' DNA helicase activity in vitro; shows similarity to the Snf2p family of ATPases [Saccharomyces cerevisiae], NC_001141 ATPase component of the RSC chromatin remodeling complex; required for expression of early meiotic genes; essential helicase-related protein homologous to Snf2p [Saccharomyces cerevisiae], NC_001143 Component of the RSC chromatin remodeling complex; found in close proximity to nucleosomal DNA; displaced from the surface of nucleosomal DNA after chromatin remodeling [Saccharomyces cerevisiae], NC_001148 Essential abundant protein involved in regulation of transcription_ removes Spt15p _TBP_ from DNA via its C-terminal ATPase activity_ forms a complex with TBP that binds TATA DNA with high affinity but with altered specificity [Saccharomyces cerevisiae]
OG0000136	7	6183.Smp_031000.2, 6183.Smp_052460.1, 6183.Smp_079740.1, 6183.Smp_082850.2, 6183.Smp_143030.1, 6183.Smp_150270.1	NC_001136 Cullin_ structural protein of SCF complexes _which also contain Skp1p_ Cdc34p_ Hrt1p and an F-box protein_ involved in ubiquitination; SCF promotes the G1-S transition by targeting G1 cyclins and the Cln-CDK inhibitor Sic1p for degradation [Saccharomyces cerevisiae]
OG0000140	7	6183.Smp_043040.1, 6183.Smp_064870.1, 6183.Smp_082830.1, 6183.Smp_103920.1, 6183.Smp_136210.1, 6183.Smp_180470.1	NC_001139 Component of the TOM _translocase of outer membrane_ complex responsible for recognition and initial import steps for all mitochondrially directed proteins; acts as a receptor for incoming precursor proteins [Saccharomyces cerevisiae]
OG0000151	7	6183.Smp_129500.1, 6183.Smp_156670.1, 6183.Smp_157740.1, 6183.Smp_212320.1	NC_001136 RNA polymerase II largest subunit B220_ part of central core; phosphorylation of C-terminal heptapeptide repeat domain regulates association with transcription and splicing factors; similar to bacterial beta-prime [Saccharomyces cerevisiae], NC_001147 RNA polymerase I subunit; largest subunit of RNA polymerase I [Saccharomyces cerevisiae], NC_001147 RNA polymerase III subunit C160_ part of core enzyme; similar to bacterial beta-prime subunit [Saccharomyces cerevisiae]
OG0000166	6	6183.Smp_013790.1, 6183.Smp_033710.1, 6183.Smp_093690.2	NC_001136 RNA helicase in the DEAD-box family_ involved in RNA isomerization at the 5' splice site [Saccharomyces cerevisiae], NC_001146 Essential ATP-dependent RNA helicase of the DEAD-box protein family_ involved in nonsense-mediated mRNA decay and rRNA processing [Saccharomyces cerevisiae], NC_001147 ATP-dependent DEAD _Asp-Glu-Ala-Asp_-box RNA helicase_ required for translation initiation of all yeast mRNAs; mutations in human DEAD-box DBY are a frequent cause of male infertility [Saccharomyces cerevisiae]
OG0000174	6	6183.Smp_030320.1, 6183.Smp_047540.1, 6183.Smp_125280.1	NC_001138 F-box protein required for G1/S and G2/M transition_ associates with Skp1p and Cdc53p to form a complex_ SCFCdc4_ which acts as ubiquitin-protein ligase directing ubiquitination of the phosphorylated CDK inhibitor Sic1p [Saccharomyces cerevisiae], NC_001141 F-box protein containing five copies of the WD40 motif_ controls cell cycle function_ sulfur metabolism_ and methionine biosynthesis as part of the ubiquitin ligase complex; interacts with and regulates Met4p_ localizes within the nucleus [Saccharomyces cerevisiae], NC_001143 Protein involved in an early_ nucleolar step of 60S ribosomal subunit biogenesis; essential for cell growth and replication of killer M1 dsRNA virus; contains four beta-transducin repeats [Saccharomyces cerevisiae]
OG0000186	6	6183.Smp_088990.1, 6183.Smp_130600.1, 6183.Smp_132770.1, 6183.Smp_133050.1, 6183.Smp_150890.1	NC_001145 Protein that modulates the efficiency of translation termination_ interacts with translation release factors eRF1 _Sup45p_ and eRF3 _Sup35p_ in vitro_ contains a zinc finger domain characteristic of the TRIAD class of proteins [Saccharomyces cerevisiae]
OG0000191	6	6183.Smp_130680.1, 6183.Smp_140690.1, 6183.Smp_153760.2	NC_001147 RNA polymerase II second largest subunit B150_ part of central core; similar to bacterial beta subunit [Saccharomyces cerevisiae], NC_001147 Second-largest subunit of RNA polymerase III_ which is responsible for the transcription of tRNA and 5S RNA genes_ and other low molecular weight RNAs [Saccharomyces cerevisiae], NC_001148 RNA polymerase I subunit A135 [Saccharomyces cerevisiae]
OG0000226	5	6183.Smp_055400.1, 6183.Smp_059130.1, 6183.Smp_133390.1, 6183.Smp_149200.1	NC_001144 GPI transamidase subunit_ involved in attachment of glycosylphosphatidylinositol _GPI_ anchors to proteins; may have a role in recognition of the attachment signal or of the lipid portion of GPI [Saccharomyces cerevisiae]
OG0000228	5	6183.Smp_055850.1, 6183.Smp_123980.1, 6183.Smp_123990.1, 6183.Smp_163830.1	NC_001141 Threonyl-tRNA synthetase_ essential cytoplasmic protein [Saccharomyces cerevisiae]
OG0000233	5	6183.Smp_112590.1, 6183.Smp_113460.1, 6183.Smp_186530.1, 6183.Smp_186540.1	NC_001142 Adenylate cyclase_ required for cAMP production and cAMP-dependent protein kinase signaling; the cAMP pathway controls a variety of cellular processes_ including metabolism_ cell cycle_ stress response_ stationary phase_ and sporulation [Saccharomyces cerevisiae]
OG0000238	5	6183.Smp_122910.1, 6183.Smp_162340.1, 6183.Smp_189130.1	NC_001134 Genome integrity checkpoint protein and PI kinase superfamily member; signal transducer required for cell cycle arrest and transcriptional responses prompted by damaged or unreplicated DNA; monitors and participates in meiotic recombination [Saccharomyces cerevisiae], NC_001143 PIK-related protein kinase and rapamycin target; subunit of TORC1_ a complex that regulates growth in response to nutrients and TORC2_ a complex that regulates cell-cycle dependent polarization of the actin cytoskeleton; involved in meiosis [Saccharomyces cerevisiae]
OG0000241	5	6183.Smp_125530.1, 6183.Smp_135700.1, 6183.Smp_159180.1, 6183.Smp_168290.1	NC_001146 Component of the microtubule-nucleating Tub4p _gamma-tubulin_ complex; interacts with Spc110p at the spindle pole body _SPB_ inner plaque and with Spc72p at the SPB outer plaque [Saccharomyces cerevisiae]
OG0000260	4	6183.Smp_006000.1, 6183.Smp_045620.1, 6183.Smp_049520.1	NC_001145 Subunit of the core complex of translation initiation factor 3_eIF3__ which is essential for translation [Saccharomyces cerevisiae]
OG0000262	4	6183.Smp_007730.1, 6183.Smp_151250.1, 6183.Smp_154160.1	NC_001134 HDEL receptor_ an integral membrane protein that binds to the HDEL motif in proteins destined for retention in the endoplasmic reticulum; has a role in maintenance of normal levels of ER-resident proteins [Saccharomyces cerevisiae]
OG0000265	4	6183.Smp_010160.1, 6183.Smp_020800.1, 6183.Smp_168350.1	NC_001147 Cochaperone protein; regulates activity of adenylyl cyclase Cyr1p; involved in kinetochore complex assembly; associates with the SCF _Skp1p/Cdc53p/F box protein_ ubiquitin ligase complex; acts as a linker between Skp1p and HSP90 complexes [Saccharomyces cerevisiae]
OG0000268	4	6183.Smp_012540.1, 6183.Smp_083180.2	NC_001136 Putative PINc domain nuclease required for early cleavages of 35S pre-rRNA and maturation of 18S rRNA; component of the SSU _small subunit_ processome involved in 40S ribosomal subunit biogenesis; copurifies with Faf1p [Saccharomyces cerevisiae], NC_001147 Essential nucleolar protein that is a component of the SSU _small subunit_ processome involved in 40S ribosomal subunit biogenesis; has homology to PINc domain protein Fcf1p_ although the PINc domain of Utp23p is not required for function [Saccharomyces cerevisiae]
OG0000274	4	6183.Smp_018240.3	NC_001136 ATPase in ER_ nuclear membrane and cytosol with homology to mammalian p97; in a complex with Npl4p and Ufd1p participates in retrotranslocation of ubiquitinated proteins from the ER into the cytosol for degradation by the proteasome [Saccharomyces cerevisiae], NC_001144 ATPase of the CDC48/PAS1/SEC18 _AAA_ family_ forms a hexameric complex; may be involved in degradation of aberrant mRNAs [Saccharomyces cerevisiae], NC_001144 Putative ATPase of the AAA family_ required for export of pre-ribosomal large subunits from the nucleus; distributed between the nucleolus_ nucleoplasm_ and nuclear periphery depending on growth conditions [Saccharomyces cerevisiae]
OG0000278	4	6183.Smp_022700.2, 6183.Smp_072900.1, 6183.Smp_121880.1	NC_001142 Essential 3-hydroxyacyl-CoA dehydratase of the ER membrane_ involved in elongation of very long-chain fatty acids; evolutionarily conserved_ similar to mammalian PTPLA and PTPLB; involved in sphingolipid biosynthesis and protein trafficking [Saccharomyces cerevisiae]
OG0000279	4	6183.Smp_024140.4, 6183.Smp_133470.1	NC_001137 Poly_A_ binding protein_ part of the 3'-end RNA-processing complex_ mediates interactions between the 5' cap structure and the 3' mRNA poly_A_ tail_ involved in control of poly_A_ tail length_ interacts with translation factor eIF-4G [Saccharomyces cerevisiae], NC_001148 Nucleolar protein_ essential for processing and maturation of 27S pre-rRNA and large ribosomal subunit biogenesis; constituent of 66S pre-ribosomal particles; contains four RNA recognition motifs _RRMs_ [Saccharomyces cerevisiae]
OG0000282	4	6183.Smp_024520.1, 6183.Smp_094420.1	NC_001137 GDP dissociation inhibitor_ regulates vesicle traffic in secretory pathways by regulating the dissociation of GDP from the Sec4/Ypt/rab family of GTP binding proteins [Saccharomyces cerevisiae], NC_001147 Rab escort protein_ forms a complex with the Ras-like small GTPase Ypt1p that is required for the prenylation of Ypt1p by protein geranylgeranyltransferase type II _Bet2p-Bet4p_; sequence similarity to mammalian choroideraemia gene [Saccharomyces cerevisiae]
OG0000283	4	6183.Smp_026630.1, 6183.Smp_078320.1, 6183.Smp_126690.1	NC_001147 Essential_ non-ATPase regulatory subunit of the 26S proteasome; has similarity to the human p40 proteasomal subunit and to another S. cerevisiae regulatory subunit_ Rpn11p [Saccharomyces cerevisiae]
OG0000290	4	6183.Smp_033600.1, 6183.Smp_142510.2, 6183.Smp_169750.1	NC_001145 RNAase III; involved in rDNA transcription and rRNA processing; also cleaves a stem-loop structure at the 3' end of U2 snRNA to ensure formation of the correct U2 3' end [Saccharomyces cerevisiae]
OG0000293	4	6183.Smp_036220.1, 6183.Smp_077790.1, 6183.Smp_108390.1	NC_001136 Histone H2B_ core histone protein required for chromatin assembly and chromosome function; nearly identical to HTB2; Rad6p-Bre1p-Lge1p mediated ubiquitination regulates transcriptional activation_ meiotic DSB formation and H3 methylation [Saccharomyces cerevisiae]
OG0000294	4	6183.Smp_037400.1, 6183.Smp_134020.1	NC_001134 Subunit of the Anaphase-Promoting Complex/Cyclosome _APC/C__ which is a ubiquitin-protein ligase required for degradation of anaphase inhibitors_ including mitotic cyclins_ during the metaphase/anaphase transition [Saccharomyces cerevisiae], NC_001140 Subunit of the Anaphase-Promoting Complex/Cyclosome _APC/C__ which is a ubiquitin-protein ligase required for degradation of anaphase inhibitors_ including mitotic cyclins_ during the metaphase/anaphase transition [Saccharomyces cerevisiae]
OG0000303	4	6183.Smp_048660.1, 6183.Smp_148990.1	NC_001144 Essential evolutionarily-conserved nucleolar protein component of the box C/D snoRNP complexes that direct 2'-O-methylation of pre-rRNA during its maturation; overexpression causes spindle orientation defects [Saccharomyces cerevisiae], NC_001147 Protein involved in pre-rRNA processing_ 18S rRNA synthesis_ and snoRNA synthesis; component of the small subunit processome complex_ which is required for processing of pre-18S rRNA [Saccharomyces cerevisiae]
OG0000304	4	6183.Smp_049510.1, 6183.Smp_062970.1, 6183.Smp_170170.1	NC_001146 Integral subunit of the pre-mRNA cleavage and polyadenylation factor _CPF_ complex; plays an essential role in mRNA 3'-end formation by bridging different processing factors and thereby promoting the assembly of the processing complex [Saccharomyces cerevisiae]
OG0000305	4	6183.Smp_049550.1, 6183.Smp_106130.2	NC_001142 ATPase involved in protein import into the ER_ also acts as a chaperone to mediate protein folding in the ER and may play a role in ER export of soluble proteins; regulates the unfolded protein response via interaction with Ire1p [Saccharomyces cerevisiae], NC_001142 Mitochondrial matrix ATPase_ subunit of the presequence translocase-associated protein import motor _PAM_ and of SceI endonuclease; involved in protein folding and translocation into the matrix; phosphorylated; member of HSP70 family [Saccharomyces cerevisiae]
OG0000308	4	6183.Smp_051210.1, 6183.Smp_168490.1, 6183.Smp_174910.1	NC_001146 Karyopherin alpha homolog_ forms a dimer with karyopherin beta Kap95p to mediate import of nuclear proteins_ binds the nuclear localization signal of the substrate during import; may also play a role in regulation of protein degradation [Saccharomyces cerevisiae]
OG0000310	4	6183.Smp_053300.1, 6183.Smp_053390.1, 6183.Smp_194870.1	NC_001134 Histone H4_ core histone protein required for chromatin assembly and chromosome function; one of two identical histone proteins _see also HHF2_; contributes to telomeric silencing; N-terminal domain involved in maintaining genomic integrity [Saccharomyces cerevisiae]
OG0000314	4	6183.Smp_056760.1, 6183.Smp_157700.1, 6183.Smp_172110.1	NC_001135 Protein disulfide isomerase_ multifunctional protein resident in the endoplasmic reticulum lumen_ essential for the formation of disulfide bonds in secretory and cell-surface proteins_ unscrambles non-native disulfide bonds [Saccharomyces cerevisiae]
OG0000315	4	6183.Smp_061590.1, 6183.Smp_197880.1	NC_001140 Essential tripartite DNA replication factor with single-stranded DNA-dependent ATPase_ ATP-dependent nuclease_ and helicase activities; required for Okazaki fragment processing; involved in DNA repair pathways; potential Cdc28p substrate [Saccharomyces cerevisiae], NC_001144 Presumed helicase required for RNA polymerase II transcription termination and processing of RNAs; homolog of Senataxin which causes Ataxia-Oculomotor Apraxia 2 and a dominant form of amyotrophic lateral sclerosis [Saccharomyces cerevisiae]
OG0000317	4	6183.Smp_070610.2, 6183.Smp_078270.1, 6183.Smp_095470.1	NC_001141 Component of the mitotic exit network; associates with and is required for the activation and Cdc15p-dependent phosphorylation of the Dbf2p kinase; required for cytokinesis and cell separation; component of the CCR4 transcriptional complex [Saccharomyces cerevisiae]
OG0000320	4	6183.Smp_073340.1	NC_001134 Catalytic subunit of the main cell cycle cyclin-dependent kinase _CDK_; alternately associates with G1 cyclins _CLNs_ and G2/M cyclins _CLBs_ which direct the CDK to specific substrates [Saccharomyces cerevisiae], NC_001138 Cyclin-dependent kinase-activating kinase required for passage through the cell cycle_ phosphorylates and activates Cdc28p; nucleotide-binding pocket differs significantly from those of most other protein kinases [Saccharomyces cerevisiae], NC_001148 Cyclin _Bur2p_-dependent protein kinase that functions in transcriptional regulation; phosphorylates the carboxy-terminal domain of Rpo21p_ which is the largest subunit of RNA polymerase II; regulated by Cak1p [Saccharomyces cerevisiae]
OG0000324	4	6183.Smp_078690.1, 6183.Smp_086330.1, 6183.Smp_126480.1	NC_001148 Essential protein required for determination of budding pattern_ promotes localization of axial markers Bud4p and Cdc12p and functionally interacts with Sec3p_ localizes to the contractile ring during anaphase_ member of the IQGAP family [Saccharomyces cerevisiae]
OG0000332	4	6183.Smp_086590.1, 6183.Smp_120700.1, 6183.Smp_195080.1	NC_001144 Cofilin_ promotes actin filament depolarization in a pH-dependent manner; binds both actin monomers and filaments and severs filaments; thought to be regulated by phosphorylation at SER4; ubiquitous and essential in eukaryotes [Saccharomyces cerevisiae]
