Orthogroup	protein_mansoni	sequence_Saccharomyces cerevisiae
OG0000010	6183.Smp_035390.1, 6183.Smp_130560.1, 6183.Smp_130570.1, 6183.Smp_132370.1, 6183.Smp_134180.1, 6183.Smp_134190.1, 6183.Smp_135210.1, 6183.Smp_135920.1, 6183.Smp_139930.1, 6183.Smp_144050.1, 6183.Smp_144810.1, 6183.Smp_150220.2, 6183.Smp_152750.1, 6183.Smp_156220.1, 6183.Smp_156870.1, 6183.Smp_157620.1, 6183.Smp_158400.1, 6183.Smp_160050.1, 6183.Smp_165740.1, 6183.Smp_167520.1, 6183.Smp_169380.1, 6183.Smp_170870.1, 6183.Smp_172890.1	
OG0000011	6183.Smp_018670.1, 6183.Smp_023620.1, 6183.Smp_024070.1, 6183.Smp_029800.1, 6183.Smp_062720.1, 6183.Smp_066760.2, 6183.Smp_095620.2, 6183.Smp_121940.1, 6183.Smp_125440.1, 6183.Smp_129640.1, 6183.Smp_149640.1, 6183.Smp_155460.1, 6183.Smp_163110.1, 6183.Smp_163570.1, 6183.Smp_164880.1, 6183.Smp_169390.1, 6183.Smp_174960.1, 6183.Smp_194800.1, 6183.Smp_194810.1, 6183.Smp_196300.1, 6183.Smp_198990.1, 6183.Smp_199540.1	
OG0000012	6183.Smp_026570.1, 6183.Smp_034610.1, 6183.Smp_037510.1, 6183.Smp_058470.1, 6183.Smp_066900.1, 6183.Smp_073360.1, 6183.Smp_073380.1, 6183.Smp_088060.1, 6183.Smp_105760.1, 6183.Smp_117170.1, 6183.Smp_129020.1, 6183.Smp_140850.1, 6183.Smp_140860.1, 6183.Smp_141290.2, 6183.Smp_141390.1, 6183.Smp_142390.1, 6183.Smp_146940.1, 6183.Smp_161890.1, 6183.Smp_161900.1, 6183.Smp_170070.1, 6183.Smp_187190.1, 6183.Smp_200490.1	
OG0000013	6183.Smp_111980.1, 6183.Smp_151790.1, 6183.Smp_200060.1, 6183.Smp_201230.1, 6183.Smp_201840.1, 6183.Smp_201900.1, 6183.Smp_202400.1, 6183.Smp_202450.1, 6183.Smp_203620.1, 6183.Smp_203660.1, 6183.Smp_203830.1, 6183.Smp_203930.1, 6183.Smp_204010.1, 6183.Smp_204150.1, 6183.Smp_204920.1, 6183.Smp_204980.1, 6183.Smp_205380.1, 6183.Smp_205540.1, 6183.Smp_205600.1, 6183.Smp_205630.1, 6183.Smp_205690.1, 6183.Smp_206060.1	
OG0000014	6183.Smp_000340.1, 6183.Smp_016180.1, 6183.Smp_034860.1, 6183.Smp_036500.1, 6183.Smp_068780.1, 6183.Smp_073470.2, 6183.Smp_097700.1, 6183.Smp_105090.1, 6183.Smp_130200.1, 6183.Smp_134490.1, 6183.Smp_139200.1, 6183.Smp_139360.1, 6183.Smp_144170.1, 6183.Smp_150630.1, 6183.Smp_155250.1, 6183.Smp_163790.1, 6183.Smp_167770.1, 6183.Smp_174260.1, 6183.Smp_174700.1, 6183.Smp_174750.1, 6183.Smp_212440.1	
OG0000015	6183.Smp_001100.1, 6183.Smp_001280.1, 6183.Smp_001330.1, 6183.Smp_034160.1, 6183.Smp_040110.1, 6183.Smp_050520.1, 6183.Smp_089670.1, 6183.Smp_105360.1, 6183.Smp_122740.1, 6183.Smp_122750.1, 6183.Smp_132540.1, 6183.Smp_135370.1, 6183.Smp_140600.1, 6183.Smp_140800.1, 6183.Smp_141250.1, 6183.Smp_143300.1, 6183.Smp_145730.1, 6183.Smp_157070.1, 6183.Smp_167190.1, 6183.Smp_173560.1, 6183.Smp_183600.1	
OG0000016	6183.Smp_002470.1, 6183.Smp_026200.1, 6183.Smp_026790.1, 6183.Smp_026860.1, 6183.Smp_032780.1, 6183.Smp_048030.1, 6183.Smp_063550.1, 6183.Smp_088610.1, 6183.Smp_096830.1, 6183.Smp_101840.1, 6183.Smp_109240.1, 6183.Smp_114130.1, 6183.Smp_114870.1, 6183.Smp_120020.1, 6183.Smp_125000.1, 6183.Smp_138800.1, 6183.Smp_139590.1, 6183.Smp_174250.1, 6183.Smp_175190.1, 6183.Smp_178400.1, 6183.Smp_197170.1	
OG0000017	6183.Smp_002860.1, 6183.Smp_005170.1, 6183.Smp_023190.1, 6183.Smp_028860.1, 6183.Smp_029950.1, 6183.Smp_061980.1, 6183.Smp_084210.1, 6183.Smp_086310.1, 6183.Smp_086370.1, 6183.Smp_099090.1, 6183.Smp_117560.1, 6183.Smp_120750.1, 6183.Smp_138720.1, 6183.Smp_138790.1, 6183.Smp_141260.1, 6183.Smp_166270.1, 6183.Smp_177900.1, 6183.Smp_178320.1, 6183.Smp_188510.1, 6183.Smp_188960.1, 6183.Smp_200580.1	
OG0000018	6183.Smp_035160.1, 6183.Smp_035180.1, 6183.Smp_035870.1, 6183.Smp_046120.1, 6183.Smp_063930.1, 6183.Smp_069240.1, 6183.Smp_081250.1, 6183.Smp_090420.1, 6183.Smp_090430.1, 6183.Smp_094560.1, 6183.Smp_121190.1, 6183.Smp_121920.1, 6183.Smp_129380.1, 6183.Smp_144310.1, 6183.Smp_156640.1, 6183.Smp_160780.1, 6183.Smp_163090.1, 6183.Smp_194490.1, 6183.Smp_194710.1, 6183.Smp_199260.1	
OG0000019	6183.Smp_039650.1, 6183.Smp_045300.1, 6183.Smp_048980.1, 6183.Smp_055600.1, 6183.Smp_104030.3, 6183.Smp_125480.1, 6183.Smp_126310.1, 6183.Smp_132600.1, 6183.Smp_137910.1, 6183.Smp_141070.1, 6183.Smp_141790.1, 6183.Smp_146240.1, 6183.Smp_154490.1, 6183.Smp_154560.1, 6183.Smp_168960.1, 6183.Smp_170290.1, 6183.Smp_180290.1, 6183.Smp_192580.1, 6183.Smp_197780.1, 6183.Smp_205990.1	
OG0000020	6183.Smp_049500.1, 6183.Smp_056290.1, 6183.Smp_112270.1, 6183.Smp_117990.1, 6183.Smp_122020.1, 6183.Smp_126450.1, 6183.Smp_132850.2, 6183.Smp_137890.1, 6183.Smp_139510.1, 6183.Smp_165020.1, 6183.Smp_165800.1, 6183.Smp_167350.1, 6183.Smp_176350.1, 6183.Smp_176450.1, 6183.Smp_181150.1, 6183.Smp_187770.1, 6183.Smp_191250.1, 6183.Smp_192030.1, 6183.Smp_199470.1, 6183.Smp_206030.1	
OG0000021	6183.Smp_000710.1, 6183.Smp_021300.1, 6183.Smp_046430.1, 6183.Smp_069960.1, 6183.Smp_074200.2, 6183.Smp_074400.1, 6183.Smp_089180.1, 6183.Smp_123630.1, 6183.Smp_127630.1, 6183.Smp_128770.1, 6183.Smp_131570.1, 6183.Smp_131830.1, 6183.Smp_139020.1, 6183.Smp_152000.1, 6183.Smp_153690.1, 6183.Smp_173820.1, 6183.Smp_196290.1, 6183.Smp_198740.1, 6183.Smp_212390.1	
OG0000022	6183.Smp_000755.1, 6183.Smp_059140.1, 6183.Smp_088180.1, 6183.Smp_094770.1, 6183.Smp_122860.1, 6183.Smp_125470.1, 6183.Smp_147480.1, 6183.Smp_157440.1, 6183.Smp_159370.1, 6183.Smp_167670.1, 6183.Smp_167780.1, 6183.Smp_168360.1, 6183.Smp_170460.1, 6183.Smp_170470.1, 6183.Smp_170480.1, 6183.Smp_170490.1, 6183.Smp_170500.1, 6183.Smp_175400.1, 6183.Smp_194190.1	
OG0000023	6183.Smp_007270.1, 6183.Smp_012600.1, 6183.Smp_014780.2, 6183.Smp_018010.1, 6183.Smp_034550.1, 6183.Smp_046130.1, 6183.Smp_123730.1, 6183.Smp_123740.1, 6183.Smp_128920.1, 6183.Smp_128930.1, 6183.Smp_143470.2, 6183.Smp_143620.1, 6183.Smp_161970.1, 6183.Smp_163360.1, 6183.Smp_163740.1, 6183.Smp_168650.1, 6183.Smp_170310.1, 6183.Smp_176000.1, 6183.Smp_196570.1	
OG0000024	6183.Smp_022560.2, 6183.Smp_056560.1, 6183.Smp_105340.1, 6183.Smp_136440.1, 6183.Smp_136450.1, 6183.Smp_142280.1, 6183.Smp_142290.1, 6183.Smp_146620.1, 6183.Smp_148670.1, 6183.Smp_151810.1, 6183.Smp_152350.1, 6183.Smp_152480.1, 6183.Smp_152500.1, 6183.Smp_153100.1, 6183.Smp_155040.1, 6183.Smp_161140.1, 6183.Smp_194700.1, 6183.Smp_196370.1, 6183.Smp_212410.1	
OG0000025	6183.Smp_001040.1, 6183.Smp_002280.1, 6183.Smp_018120.1, 6183.Smp_035220.1, 6183.Smp_128200.2, 6183.Smp_132300.1, 6183.Smp_137230.1, 6183.Smp_137660.1, 6183.Smp_140570.1, 6183.Smp_147970.1, 6183.Smp_149260.1, 6183.Smp_159790.1, 6183.Smp_173450.1, 6183.Smp_179050.1, 6183.Smp_190520.1, 6183.Smp_197070.1, 6183.Smp_198590.1	NC_001139 Ribosomal protein of the large _60S_ ribosomal subunit_ has similarity to E. coli L15 and rat L27a ribosomal proteins; may have peptidyl transferase activity; can mutate to cycloheximide resistance [Saccharomyces cerevisiae]
OG0000026	6183.Smp_003230.1, 6183.Smp_014850.1, 6183.Smp_036990.1, 6183.Smp_044530.1, 6183.Smp_062950.1, 6183.Smp_070090.1, 6183.Smp_085740.1, 6183.Smp_122030.1, 6183.Smp_126520.1, 6183.Smp_140490.1, 6183.Smp_147670.1, 6183.Smp_151490.1, 6183.Smp_173170.1, 6183.Smp_174690.1, 6183.Smp_176510.1, 6183.Smp_196040.1, 6183.Smp_196890.1, 6183.Smp_212420.1	
OG0000027	6183.Smp_008390.1, 6183.Smp_023140.1, 6183.Smp_124150.1, 6183.Smp_124880.1, 6183.Smp_125090.1, 6183.Smp_128820.1, 6183.Smp_128830.1, 6183.Smp_141020.1, 6183.Smp_152360.1, 6183.Smp_162070.1, 6183.Smp_164000.1, 6183.Smp_165180.1, 6183.Smp_165300.1, 6183.Smp_167530.1, 6183.Smp_173920.1, 6183.Smp_186920.1, 6183.Smp_187590.1, 6183.Smp_193730.1	
OG0000028	6183.Smp_012010.1, 6183.Smp_054350.1, 6183.Smp_076300.1, 6183.Smp_086270.1, 6183.Smp_098780.1, 6183.Smp_127090.1, 6183.Smp_133480.1, 6183.Smp_133520.1, 6183.Smp_135710.1, 6183.Smp_145650.1, 6183.Smp_150430.1, 6183.Smp_152170.1, 6183.Smp_155010.1, 6183.Smp_158750.1, 6183.Smp_187740.1, 6183.Smp_200710.1, 6183.Smp_212350.1	NC_001148 Transcriptional activator with similarity to DNA-binding domain of Drosophila forkhead but unable to bind DNA in vitro; required for rRNA processing; isolated as a suppressor of splicing factor prp4 [Saccharomyces cerevisiae]
OG0000029	6183.Smp_005190.2, 6183.Smp_005200.1, 6183.Smp_064040.1, 6183.Smp_068060.1, 6183.Smp_081410.1, 6183.Smp_094090.1, 6183.Smp_096640.1, 6183.Smp_096670.1, 6183.Smp_103360.1, 6183.Smp_131800.1, 6183.Smp_150260.1, 6183.Smp_155140.1, 6183.Smp_159730.1, 6183.Smp_163420.1, 6183.Smp_175160.1, 6183.Smp_179800.1, 6183.Smp_212600.1	
OG0000030	6183.Smp_009600.1, 6183.Smp_142990.1, 6183.Smp_145190.1, 6183.Smp_147450.1, 6183.Smp_152330.1, 6183.Smp_164380.1, 6183.Smp_166150.1	NC_001133 Protein kinase of the Mitotic Exit Network that is localized to the spindle pole bodies at late anaphase; promotes mitotic exit by directly switching on the kinase activity of Dbf2p; required for spindle disassembly after meiosis II [Saccharomyces cerevisiae], NC_001134 Protein serine/threonine kinase essential for cell wall remodeling during growth; localized to sites of polarized growth and the mother-daughter bud neck; homolog of the alpha_ beta_ and gamma isoforms of mammalian protein kinase C _PKC_ [Saccharomyces cerevisiae], NC_001139 Protein ser/thr kinase required for vesicle formation in autophagy and the cytoplasm-to-vacuole targeting _Cvt_ pathway; structurally required for phagophore assembly site formation; during autophagy forms a complex with Atg13p and Atg17p [Saccharomyces cerevisiae], NC_001142 cAMP-dependent protein kinase catalytic subunit; promotes vegetative growth in response to nutrients via the Ras-cAMP signaling pathway; inhibited by regulatory subunit Bcy1p in the absence of cAMP; partially redundant with Tpk2p and Tpk3p [Saccharomyces cerevisiae], NC_001143 Nim1p-related protein kinase that regulates the morphogenesis and septin checkpoints; associates with the assembled septin filament; required along with Hsl7p for bud neck recruitment_ phosphorylation_ and degradation of Swe1p [Saccharomyces cerevisiae], NC_001143 cAMP-dependent protein kinase catalytic subunit; promotes vegetative growth in response to nutrients via the Ras-cAMP signaling pathway; inhibited by regulatory subunit Bcy1p in the absence of cAMP; partially redundant with Tpk1p and Tpk2p [Saccharomyces cerevisiae], NC_001145 Polo-like kinase with similarity to Xenopus Plx1 and S. pombe Plo1p; found at bud neck_ nucleus and SPBs; has multiple functions in mitosis and cytokinesis through phosphorylation of substrates; may be a Cdc28p substrate [Saccharomyces cerevisiae], NC_001147 Serine/threonine protein kinase that inhibits the mitotic exit network _MEN_ when the spindle position checkpoint is activated; localized asymmetrically to mother cell cortex_ spindle pole body and bud neck [Saccharomyces cerevisiae], NC_001148 Protein kinase_ required for cell-cycle arrest in response to DNA damage; activated by trans autophosphorylation when interacting with hyperphosphorylated Rad9p; also interacts with ARS1 and plays a role in initiation of DNA replication [Saccharomyces cerevisiae], NC_001148 cAMP-dependent protein kinase catalytic subunit; promotes vegetative growth in response to nutrients via the Ras-cAMP signaling pathway; inhibited by regulatory subunit Bcy1p in the absence of cAMP; partially redundant with Tpk1p and Tpk3p [Saccharomyces cerevisiae]
OG0000031	6183.Smp_020920.1, 6183.Smp_022330.1, 6183.Smp_035200.4, 6183.Smp_078800.1, 6183.Smp_083450.1, 6183.Smp_096010.1, 6183.Smp_104730.1, 6183.Smp_105960.1, 6183.Smp_132870.1, 6183.Smp_136540.1, 6183.Smp_136910.1, 6183.Smp_141080.1, 6183.Smp_146900.1, 6183.Smp_173390.1, 6183.Smp_196180.1	NC_001141 Cytosolic J-domain-containing protein_ required for peroxisomal protein import and involved in peroxisome assembly_ homologous to E. coli DnaJ [Saccharomyces cerevisiae], NC_001146 Type II HSP40 co-chaperone that interacts with the HSP70 protein Ssa1p; not functionally redundant with Ydj1p due to due to substrate specificity; shares similarity with bacterial DnaJ proteins [Saccharomyces cerevisiae]
OG0000032	6183.Smp_034920.1, 6183.Smp_067620.1, 6183.Smp_124170.1, 6183.Smp_130810.1, 6183.Smp_137550.1, 6183.Smp_137560.1, 6183.Smp_153140.1, 6183.Smp_153330.1, 6183.Smp_156080.1, 6183.Smp_157410.1, 6183.Smp_158760.1, 6183.Smp_159840.1, 6183.Smp_165620.1, 6183.Smp_165820.1, 6183.Smp_176300.1, 6183.Smp_212280.1, 6183.Smp_212290.1	
OG0000033	6183.Smp_001560.1, 6183.Smp_016920.1, 6183.Smp_047420.1, 6183.Smp_047700.1, 6183.Smp_048680.1, 6183.Smp_049970.5, 6183.Smp_071380.4, 6183.Smp_079400.1, 6183.Smp_125460.1, 6183.Smp_134780.1, 6183.Smp_150210.1, 6183.Smp_150830.1, 6183.Smp_157360.1, 6183.Smp_176120.1, 6183.Smp_201820.1, 6183.Smp_205270.1	
OG0000034	6183.Smp_010670.1, 6183.Smp_042140.1, 6183.Smp_042150.1, 6183.Smp_045010.1, 6183.Smp_045200.1, 6183.Smp_072620.1, 6183.Smp_072630.1, 6183.Smp_074460.1, 6183.Smp_077310.1, 6183.Smp_086470.1, 6183.Smp_086480.1, 6183.Smp_086530.1, 6183.Smp_146460.1, 6183.Smp_169190.1, 6183.Smp_169200.1, 6183.Smp_195090.1	
OG0000035	6183.Smp_019030.1, 6183.Smp_034410.1, 6183.Smp_067060.1, 6183.Smp_085010.1, 6183.Smp_085180.1, 6183.Smp_103610.1, 6183.Smp_105370.1, 6183.Smp_139160.1, 6183.Smp_139240.1, 6183.Smp_141610.1, 6183.Smp_149730.1, 6183.Smp_158410.1, 6183.Smp_158420.1, 6183.Smp_179950.1, 6183.Smp_187140.1, 6183.Smp_210500.1	
