Orthogroup	protein_mansoni	resultado_cel	resultado_dme	resultado_sce
OG0000010	6183.Smp_000830.1, 6183.Smp_035650.1, 6183.Smp_053520.1, 6183.Smp_091160.1, 6183.Smp_126560.1, 6183.Smp_140350.1, 6183.Smp_142440.1, 6183.Smp_160670.1, 6183.Smp_163140.1, 6183.Smp_170750.1, 6183.Smp_175710.1	NP_490823.1, NP_491393.1, NP_492246.2, NP_496138.1, NP_498655.1, NP_500361.3, NP_502526.1, NP_509037.1, NP_509758.2, NP_509759.2, NP_509860.1, NP_510365.1, NP_510366.1, NP_510497.1, S60251	AAF46400.4, AAF46405.1, AAF46642.3, AAF46956.2, AAF48763.2, AAF49681.1, AAF51505.1, AAF57099.3, AAF59318.1, AAF59395.4, NP_476949.2, NP_477026.1, NP_477330.1, NP_523799.3, NP_523834.1, NP_573242.2	
OG0000011	6183.Smp_034850.1, 6183.Smp_127170.1, 6183.Smp_141570.1, 6183.Smp_155970.1	NP_491692.1, NP_491810.2, NP_492381.3, NP_492511.2, NP_494333.1, NP_494786.5, NP_495313.1, NP_495727.1, NP_495961.3, NP_499470.2, NP_499529.2, NP_499790.1, NP_504663.2, NP_505731.3, NP_506078.1, NP_506091.2, NP_506103.2, NP_506416.2, NP_507483.1, NP_507713.1, NP_508031.3, NP_508526.2, NP_508732.3, NP_509516.1, NP_509697.1, NP_509942.4, NP_510284.1, NP_510305.1	AAF45991.2, AAF46673.2, AAF47456.1, AAF48048.2, AAF54374.1, AAF54970.2, AAF55561.1, NP_511112.1, NP_610349.1	NP_012442.1
OG0000012	6183.Smp_103680.1	NP_494910.2, NP_505421.3	AAD38625.1, AAF46764.2, AAF46770.2, AAF47836.2, AAF49135.1, AAF49225.1, AAF49484.2, AAF49721.2, AAF49736.2, AAF50993.1, AAF51194.2, AAF51195.1, AAF51304.2, AAF53273.4, AAF53615.2, AAF54286.2, AAF54345.2, AAF55031.1, AAF56393.1, AAF56778.2, AAF57320.2, AAF59005.1, AAF59006.2, AAF59008.1, AAF59107.2, AAF59111.1, NP_476709.1, NP_511134.2, NP_523919.1, NP_609374.1, NP_609640.1, NP_609840.1, NP_610402.1, NP_610403.1, NP_610435.4, NP_610441.2	
OG0000013		NP_490679.1, NP_491088.1, NP_491958.1, NP_493635.1, NP_493660.1, NP_493913.2, NP_494879.2, NP_494880.1, NP_495104.1, NP_495487.1, NP_495582.1, NP_495726.2, NP_495759.1, NP_496361.1, NP_496362.1, NP_496665.1, NP_499889.2, NP_499905.2, NP_501273.2, NP_501617.1, NP_502966.2, NP_503048.1, NP_505677.1, NP_505678.1, NP_506283.1, NP_506284.2, NP_508395.1, NP_508747.1, NP_509051.1, NP_509059.1, NP_509060.1, NP_509121.1, NP_509162.1, NP_509276.1, NP_509869.1, NP_509870.1, NP_509960.1, NP_510021.1, NP_510617.1		
OG0000014			AAF48876.2, AAF51242.3, AAF51243.4, AAF52274.2, AAF54800.1, AAF57417.2, AAF58185.2, AAF58187.2, AAF58188.2, AAF58189.2, AAF59077.1, AAF59078.3, NP_523628.1, NP_523645.1, NP_523646.1, NP_523850.1, NP_608403.1, NP_608457.1, NP_608911.1, NP_608912.1, NP_609694.1, NP_609891.1, NP_610206.1, NP_610390.1, NP_611004.1, NP_611698.1, Q9V674.1, Q9V675.1, Q9V676.1, Q9V6H1.1, Q9V769.1, Q9V770.1, Q9V774.1, Q9VB31.1, Q9VFP1.1, Q9VG82.1, Q9VYT8.1, XP_081268.1	NP_011871.1
OG0000015	6183.Smp_054160.1	NP_494882.2, NP_494883.1, NP_494884.1, NP_494887.1, NP_494889.1, NP_494902.1, NP_495967.1, NP_496357.1, NP_496858.1, NP_496859.1, NP_496860.1, NP_496861.1, NP_496862.1, NP_496863.1, NP_496864.1, NP_496865.1, NP_496866.1, NP_497115.1, NP_497116.1, NP_497117.1, NP_497118.1, NP_497119.1, NP_497121.1, NP_497123.2, NP_501846.1, NP_501847.1, NP_501848.1, NP_503492.1, NP_503532.1, NP_503968.1, NP_505972.2, NP_506983.1, NP_507095.1, NP_508625.1, NP_509652.2	AAF57900.1	
OG0000016		NP_496059.2, NP_509182.1	AAF46697.2, AAF46698.3, AAF46872.3, AAF49195.1, AAF52483.2, AAF53569.1, AAF53570.2, AAF53571.1, AAF53673.2, AAF53710.2, AAF54586.2, AAF54589.1, AAF54590.2, AAF54591.1, AAF54593.3, AAF54594.1, AAF54595.1, AAF54596.1, AAF54597.2, AAF54598.1, AAF54861.1, AAF54862.2, AAF55892.7, AAF56143.1, AAF56144.2, AAF56145.1, AAF57149.2, NP_523607.2, NP_524686.3, NP_525007.2, NP_525008.2, NP_609909.1, NP_609910.1	NP_013290.1
OG0000017		NP_494562.1, NP_495366.2, NP_495367.1, NP_496589.1, NP_499408.1, NP_499409.1, NP_499410.1, NP_499700.1, NP_499703.1, NP_500071.1, NP_500133.2, NP_500138.1, NP_500519.1, NP_500520.1, NP_500524.2, NP_500598.1, NP_501150.1, NP_501527.1, NP_501561.1, NP_501700.1, NP_501829.1, NP_501867.1, NP_502107.1, NP_502700.1, NP_502808.1, NP_504252.1, NP_505074.1, NP_505886.1, NP_505888.2, NP_505913.1, NP_506095.1, NP_509766.1, NP_510247.1, NP_510273.1, NP_510274.1		
OG0000018	6183.Smp_011000.1, 6183.Smp_146180.1	NP_501877.2, NP_503184.1, NP_503185.1, NP_503233.1, NP_504662.1, NP_504755.3, NP_505527.1, NP_506229.1, NP_506641.1	AAF47182.3, AAF51110.1, AAF51606.1, AAF52972.2, AAF52973.1, AAF52978.1, AAF52981.2, AAF52982.2, AAF52985.2, AAF54840.3, AAF54841.2, AAF54842.3, AAF54843.4, AAF54844.2, AAF56528.2, AAF57253.5, AAF58163.1, NP_477331.1, NP_523540.1, NP_524667.1, NP_609418.1	NP_012782.1
OG0000019	6183.Smp_054350.1, 6183.Smp_076300.1, 6183.Smp_098780.1, 6183.Smp_127090.1, 6183.Smp_133480.1, 6183.Smp_135710.1, 6183.Smp_145650.1, 6183.Smp_150430.1, 6183.Smp_158750.1	NP_491826.1, NP_492676.2, NP_494704.1, NP_494775.1, NP_496411.1, NP_500700.1, NP_508006.1, NP_508644.1, NP_508645.1, NP_508664.2	AAF45367.1, AAF50092.2, AAF59407.1, NP_476730.1, NP_476834.1, NP_523814.1, NP_523912.1, NP_524202.1, NP_524495.1, NP_524496.1, NP_524542.1	NP_009991.2, NP_012135.1, NP_014331.3
OG0000020	6183.Smp_005710.1, 6183.Smp_086630.1, 6183.Smp_093070.1, 6183.Smp_102020.2, 6183.Smp_103640.1, 6183.Smp_113750.1, 6183.Smp_133400.1, 6183.Smp_154460.1, 6183.Smp_154590.1, 6183.Smp_155170.1, 6183.Smp_165590.1, 6183.Smp_165600.1, 6183.Smp_166470.1, 6183.Smp_173350.2, 6183.Smp_175670.1, 6183.Smp_179390.1, 6183.Smp_179420.1, 6183.Smp_179970.1, 6183.Smp_191400.1, 6183.Smp_192050.1, 6183.Smp_193380.1, 6183.Smp_194130.1, 6183.Smp_201330.1, 6183.Smp_202320.1, 6183.Smp_202420.1, 6183.Smp_202700.1, 6183.Smp_202840.1, 6183.Smp_202850.1, 6183.Smp_204710.1, 6183.Smp_204830.1, 6183.Smp_204840.1, 6183.Smp_205310.1			
OG0000021	6183.Smp_047460.1	NP_490795.5, NP_492109.2, NP_492616.1, NP_493926.2, NP_494953.3, NP_495552.2, NP_497769.3, NP_498342.3, NP_498405.2, NP_498583.1, NP_499768.2, NP_501114.2, NP_501871.2, NP_502533.2, NP_503121.2, NP_508154.2, NP_509086.2, NP_509669.2, NP_510440.1, NP_510549.3	AAF48872.1, AAF51925.1, AAF55124.2, AAF56122.1, AAF56275.1, NP_609755.1, NP_609756.1, NP_609757.1, NP_609758.1, NP_609759.1, NP_609760.1	
OG0000022		NP_493993.1, NP_494195.3, NP_494196.2, NP_494197.1, NP_494198.3, NP_494199.1, NP_494229.2, NP_494230.1, NP_494231.1, NP_494290.2, NP_494291.1, NP_494292.2, NP_494315.1, NP_494317.2, NP_494318.2, NP_494319.2, NP_494320.2, NP_494473.2, NP_494474.2, NP_494475.1, NP_494476.2, NP_494477.2, NP_494478.1, NP_494479.2, NP_494480.2, NP_494481.2, NP_494482.1, NP_494483.2, NP_494485.2, NP_499312.2, NP_507324.1, NP_508383.1		
OG0000023		NP_496939.2, NP_503130.2, NP_503598.1, NP_505009.4, NP_505490.2, NP_505847.1, NP_507109.1, NP_507688.2, NP_509959.1, NP_510643.1	AAB71165.1, AAF45736.1, AAF50550.3, AAF52233.4, AAF52234.2, AAF58961.2, NP_524828.1, NP_525031.1, NP_525043.1, NP_525044.1, NP_572721.1, NP_572780.3, NP_608916.1, O46051.1, Q9V7G5.2, Q9VLZ7.1, Q9VS79.2, Q9VVN6.1, Q9VXY0.1, Q9W011.1, XP_079988.1	
OG0000024		NP_494455.1, NP_496018.2, NP_496019.1, NP_496020.1, NP_496021.1, NP_496023.1, NP_496024.2, NP_496026.2, NP_496027.1, NP_496028.1, NP_496029.2, NP_496030.1, NP_496031.2, NP_496032.1, NP_496033.2, NP_496034.1, NP_496035.1, NP_496122.2, NP_496125.1, NP_496126.1, NP_496127.1, NP_496128.1, NP_496129.2, NP_496131.2, NP_496132.1, NP_496133.2, NP_496660.2, NP_500855.1, NP_500856.2, NP_506735.3, NP_506770.2		
OG0000025			AAF48270.2, AAF50802.1, AAF54054.3, AAF54784.1, AAF54785.1, AAF54795.2, AAF57693.1, AAF57694.1, AAF57697.1, AAF57698.1, AAF57699.1, AAF57702.1, NP_524326.1, NP_524912.1, NP_524913.1, NP_524914.3, NP_524915.1, NP_524916.1, NP_525114.1, NP_610457.1, NP_610509.2, NP_610855.1, NP_611323.1, NP_611324.1, NP_611328.1, NP_611329.1, NP_611339.1, Q9VG97.1, XP_080532.1	NP_013040.1, NP_014170.1
OG0000026		NP_499148.2, NP_500257.1, NP_500258.2, NP_500259.1, NP_500260.3, NP_500262.1, NP_500437.2, NP_500438.5, NP_500439.2, NP_500440.2, NP_500442.3, NP_500446.2, NP_500447.2, NP_500448.1, NP_500449.2, NP_500469.4, NP_502450.2, NP_502451.1, NP_503546.3, NP_503676.1, NP_503855.2, NP_507836.1, T19123, T21928, T21929, T21930, T21932, T21933, T21934, T21935		
OG0000027			AAF49326.2, AAF49327.1, AAF49943.1, AAF50231.1, AAF50232.1, AAF50233.1, AAF50241.1, AAF50427.1, AAF50428.1, AAF50557.3, AAF50700.1, AAF50708.1, AAF50709.1, AAF50711.1, AAF50712.1, AAF50713.1, AAF50714.1, AAF50715.1, AAF50716.1, AAF50717.2, AAF52179.1, AAF52180.1, AAF52181.1, AAF57055.1, AAF57056.2, AAF59060.2, NP_524553.1, NP_524554.1, NP_524555.1, NP_573072.1	
OG0000028	6183.Smp_042680.1	NP_491180.1, NP_491181.2, NP_497031.1, NP_501154.1, NP_501155.1, NP_501156.1, NP_502263.1, NP_503143.1, NP_503222.1, NP_503224.2, NP_503751.1, NP_503752.1, NP_503753.1, NP_503754.1, NP_505704.1, NP_505742.1, NP_505755.1, NP_506182.2, NP_506230.1, NP_506820.1, NP_506855.2, NP_507157.1, NP_510229.1	AAF48896.1, AAF51983.1, AAF51984.1, AAF51985.3, NP_569875.2	
OG0000029	6183.Smp_050630.1, 6183.Smp_069120.1, 6183.Smp_128480.1, 6183.Smp_145120.1, 6183.Smp_150920.1, 6183.Smp_151430.1, 6183.Smp_159640.1, 6183.Smp_175900.1, 6183.Smp_194330.1, 6183.Smp_206290.1	NP_491853.2, NP_493802.2, NP_495394.3, NP_495395.1, NP_495673.2, NP_497261.2, NP_498467.3, NP_503406.4, NP_503409.1, NP_510526.2	AAF46620.2, AAF48260.1, AAF49683.1, AAF51205.1, AAF52148.1, AAF55101.1, AAF59354.4, NP_573251.1	NP_014784.1
OG0000030	6183.Smp_013630.1, 6183.Smp_016230.1, 6183.Smp_069720.1, 6183.Smp_083220.1, 6183.Smp_124580.1, 6183.Smp_129530.1, 6183.Smp_131010.1, 6183.Smp_132320.1, 6183.Smp_135630.1, 6183.Smp_135640.1, 6183.Smp_141740.1, 6183.Smp_149010.1, 6183.Smp_149140.1, 6183.Smp_149330.1, 6183.Smp_151620.1, 6183.Smp_151630.1, 6183.Smp_155600.1, 6183.Smp_155810.1, 6183.Smp_162520.1, 6183.Smp_162550.1, 6183.Smp_166440.1, 6183.Smp_167460.1, 6183.Smp_167470.1, 6183.Smp_176470.1, 6183.Smp_179750.1, 6183.Smp_193230.1, 6183.Smp_196240.1, 6183.Smp_199910.1			
OG0000031		NP_492919.2, NP_492921.2, NP_492922.1, NP_492926.1, NP_492931.1, NP_492932.1, NP_493090.1, NP_493092.1, NP_493118.2, NP_493119.2, NP_493122.2, NP_493137.2, NP_493149.2, NP_493155.1, NP_493156.2, NP_494671.2, NP_494672.2, NP_494675.3, NP_494676.1, NP_496701.1, NP_496702.1, NP_501076.2, NP_501621.1, NP_501622.3, NP_503239.2, NP_503258.1, NP_506457.2, NP_506768.1		
OG0000032		NP_493141.1, NP_493820.1, NP_494663.2, NP_494670.1, NP_500564.4, NP_500991.2, NP_502716.2, NP_502914.1, NP_503241.2, NP_503242.1, NP_503243.3, NP_503251.3, NP_503256.2, NP_503257.1, NP_503533.3, NP_503534.1, NP_503564.2, NP_503565.2, NP_503789.1, NP_503884.1, NP_504844.2, NP_504853.1, NP_505002.2, NP_505095.1, NP_505096.1, NP_505097.1, NP_505599.2, NP_505744.1		
OG0000033			AAF43410.1, AAF46731.3, AAF46994.2, AAF47847.2, AAF49004.2, AAF49176.2, AAF53411.2, AAF53412.2, AAF53413.1, AAF53414.1, AAF54938.2, AAF55084.2, AAF55211.1, AAF55689.2, AAF56159.3, AAF56169.4, AAF56675.1, AAF56677.1, AAF57029.1, AAF57030.1, AAF57079.3, AAF57862.2, AAF58868.2, AAF58909.2, NP_572582.1, NP_611054.3, P13582.3, XP_081173.1	
OG0000034				NP_009407.1, NP_009550.1, NP_009568.1, NP_010455.1, NP_012561.3, NP_012563.1, NP_013673.1, NP_013760.1, NP_013766.1, NP_036195.3, NP_058141.1, NP_058149.1, NP_058153.3, NP_058155.1, NP_058156.1, NP_058159.1, NP_058161.1, NP_058166.1, NP_058173.1, NP_058176.1, NP_058179.1, NP_058180.1, NP_058182.1, NP_058184.3, NP_058190.1, NP_058192.1, NP_058196.1, NP_620388.3
OG0000035		NP_492062.1, NP_492748.3, NP_493485.1, NP_501069.2, NP_501075.1, NP_501294.1, NP_501627.1, NP_501628.1, NP_503439.2, NP_503567.2, NP_503571.1, NP_503572.1, NP_503574.3, NP_503883.1, NP_503885.2, NP_504847.1, NP_504849.2, NP_504851.2, NP_504854.4, NP_504855.1, NP_504857.1, NP_505043.2, NP_505695.4, NP_505887.1, NP_506032.1, NP_506045.3, NP_507847.1		
OG0000036	6183.Smp_000120.1, 6183.Smp_018510.1, 6183.Smp_038920.1, 6183.Smp_106390.1, 6183.Smp_158010.1, 6183.Smp_164350.1, 6183.Smp_178530.1, 6183.Smp_183860.1, 6183.Smp_185440.1, 6183.Smp_188900.1, 6183.Smp_192040.1, 6183.Smp_195110.1, 6183.Smp_195120.1, 6183.Smp_195130.1, 6183.Smp_195140.1, 6183.Smp_195150.1, 6183.Smp_195160.1	NP_491240.2, NP_495557.1, NP_508116.1, NP_510849.1	AAF48015.1	NP_011624.1, NP_012184.1, NP_012185.1, NP_058162.3
OG0000037	6183.Smp_005790.1, 6183.Smp_016250.2, 6183.Smp_016630.1, 6183.Smp_020080.1	NP_490790.1, NP_490906.1, NP_491715.1, NP_492108.1, NP_492312.1, NP_499921.2, NP_500740.4, NP_501921.1, NP_504745.1, NP_505157.1, NP_505425.1, NP_505840.1, NP_506160.1, NP_506161.1, NP_506190.2, NP_506290.1, NP_509557.1	AAF58485.2, NP_477502.1, P16378.1	NP_010937.3, NP_011868.1
